variant,year,roi_%,max_dd_%
VS_CLASSIC,2021,36.6,0.0
VS_CLASSIC,2022,-13.4,13.4
VS_CLASSIC,2023,73.7,0.0
VS_CLASSIC,2024,52.4,10.9
VS_CLASSIC,2025,9.0,0.0
VS_CLASSIC,2026Q12,0.0,0.0
VS_LOOSE,2021,37.4,0.0
VS_LOOSE,2022,-13.4,13.4
VS_LOOSE,2023,73.7,0.0
VS_LOOSE,2024,52.9,10.9
VS_LOOSE,2025,9.0,0.0
VS_LOOSE,2026Q12,0.0,0.0
VS_AGGR,2021,14.8,0.0
VS_AGGR,2022,-15.6,15.6
VS_AGGR,2023,83.1,0.0
VS_AGGR,2024,61.9,12.5
VS_AGGR,2025,10.6,0.0
VS_AGGR,2026Q12,0.0,0.0
VS_TIGHT,2021,18.5,0.0
VS_TIGHT,2022,-11.8,11.8
VS_TIGHT,2023,61.5,0.0
VS_TIGHT,2024,46.4,9.6
VS_TIGHT,2025,8.0,0.0
VS_TIGHT,2026Q12,0.0,0.0
Pure_Shield,2021,47.0,0.0
Pure_Shield,2022,-13.4,13.4
Pure_Shield,2023,73.7,0.0
Pure_Shield,2024,52.9,10.9
Pure_Shield,2025,9.0,0.0
Pure_Shield,2026Q12,0.0,0.0
